authors,year,title,category,time_series,reasoning,verdict
"Hossain, Zarin Tahia; Milani, Mostafa",2025,Beyond Accuracy: An Empirical Study of Uncertainty Estimation in Imputation,B,NO,"Evaluates calibration and uncertainty of deep generative models (GAIN, MIWAE, TabCSDI) across MCAR, MAR, and MNAR settings, highlighting misalignment between accuracy and calibration under mechanism shift.",REVIEW
"Sun, Yige; Li, Jing; Xu, Yifan; Zhang, Tingting; Wang, Xiaofeng",2023,Deep learning versus conventional methods for missing data imputation: A review and comparative study,B,NO,"Substantively investigates deep learning failure modes under mechanism shift, showing GAIN performs well under MCAR but fails under MAR and MNAR compared to conventional MICE.",REVIEW
"Poette, M; Mouysset, S; Ruiz, D; Pey, V; Alliot, JM; Minville, V",2026,Benchmarking imputation strategies for missing time-series data in critical care using real-world-inspired scenarios,B,YES,"Evaluates DL time-series imputation (Transformers, GANs, VAEs) under realistic non-random ICU gap scenarios vs MCAR, demonstrating how MCAR optimistically compresses performance differences. Inclusion per tie-breaker.",REVIEW
"Mantuano, C; Omoyele, O; Hoffmann, M; Weinand, JM; Panella, M; Stolten, D",2025,Data imputation methods for intermittent renewable energy sources: Implications for energy system modeling,C,YES,Evaluates imputation methods for renewable energy time series using gap patterns as empirical test conditions without engaging in statistical missingness mechanism theory.,SKIP
"Zahmatkesh, S; Zech, P",2025,Comparing the Performance of Recurrent Neural Network and Some Well-Known Statistical Methods in the Case of Missing Multivariate Time Series Data,B,YES,"Contrasts statistical MAR assumptions with decay-augmented RNNs (LSTM-D, GRU-D), demonstrating neural network advantages when missingness is non-random.",REVIEW
"Tan, F.; Long, B.",2026,Bridging Machine Learning and Clinical Endpoints: A METABRIC-Informed Simulation Study of Missing Data Imputation for RECIST-Based Best Overall Response,B,YES,Substantively analyzes progression-driven dropout (MNAR/MAR) in longitudinal clinical trajectories and evaluates ML/LSTM imputation aligned with underlying missing data assumptions and estimands.,REVIEW
"Natrayan, L.; Ali, H.M.; Kaliappan, S.; Kumar, B.V.",2023,Data Mining and AI Approaches for Early Detection and Management of Gastrointestinal Disorders,D,UNCLEAR,Focuses on general AI applications for gastrointestinal disorder management; not about missing data imputation.,SKIP
"Gui, Q.; Wu, X.; Niu, B.",2023,Class-Aware Pseudo-Labeling for Non-Random Missing Labels in Semi-Supervised Learning,D,NO,Addresses non-random missing labels (MNAR) in semi-supervised classification rather than missing feature imputation.,SKIP
"Hallaji, E.; Razavi-Far, R.; Saif, M.",2022,DLIN: Deep Ladder Imputation Network,C,NO,Proposes a deep ladder neural network architecture for missing data imputation but lacks analysis of missingness mechanisms or statistical validity.,SKIP
"Khadem Charvadeh, Y.; Seier, K.; Panageas, K.S.; Vaithilingam, D.; Gönen, M.; Chen, Y.",2025,Clustering-Informed Shared-Structure Variational Autoencoder for Missing Data Imputation in Large-Scale Healthcare Data,B,NO,Proposes a variational autoencoder (CISS-VAE) explicitly designed to accommodate non-random missingness mechanisms (MNAR) and informative missingness patterns alongside MAR.,REVIEW
"Paterakis, G.; Fafalios, S.; Charonyktakis, P.; Christophides, V.; Tsamardinos, I.",2024,Do We Really Need Imputation in AutoML Predictive Modeling?,C,NO,Empirically evaluates the necessity of imputation steps in AutoML pipelines versus native missing data handling without formal missingness mechanism theory.,SKIP
"Bagmar, M.S.H.; Shen, H.",2022,Causal inference with missingness in confounder,D,NO,Focuses on classical statistical causal inference and propensity score weighting for missing confounders; no deep learning imputation involved.,SKIP
"Mostafa, S.M.; Eladimy, A.S.; Hamad, S.; Amano, H.",2020,CBRG: A Novel Algorithm for Handling Missing Data Using Bayesian Ridge Regression and Feature Selection Based on Gain Ratio,D,NO,Proposes a statistical imputation algorithm using Bayesian ridge regression and gain ratio feature selection; does not use deep learning.,SKIP
"Zhang, P.; Xie, S.X.",2026,Bias and Efficiency Comparison Between Multiple Imputation and Available-Case Analysis for Missing Data in Longitudinal Models,D,YES,Classical statistical comparison between multiple imputation and available-case analysis in longitudinal models; no deep learning involved.,SKIP
"Gorla, A.; Wang, R.; Liu, Z.; An, U.; Sankararaman, S.",2025,CACTI: Leveraging Copy Masking and Contextual Information to Improve Tabular Data Imputation,B,NO,Proposes a masked autoencoder (Transformer) with copy masking (MT-CM) to learn empirical missingness structures specifically targeting complex MAR and MNAR mechanisms.,REVIEW
"Chun, N.Y.; Belyaev, A.G.; Choong, F.C.M.; Chuah, J.H.; Suandi, S.A.; Rudrusamy, B.",2025,CMILK: Correlation-Based Multiple Imputation with Local k-Neighbour Matching for Missing Thermal Facial Data,D,NO,Proposes a correlation-based multiple imputation method with k-nearest neighbour matching; does not utilize deep learning architectures.,SKIP
"Garg, A.; Naryani, D.; Aggarwal, G.; Aggarwal, S.",2018,Dl-gsa: a deep learning metaheuristic approach to missing data imputation,C,NO,Combines deep learning with gravitational search algorithm metaheuristics for imputation without analyzing statistical missingness mechanisms.,SKIP
"Le, T.; Nguyen, B.; Le, K.; Le, B.",2026,Causal Time-Series GNN with XAI for Stock Market Fraud Detection,D,YES,Focuses on graph neural networks for stock market fraud detection rather than missing data imputation.,SKIP
"Sun, S.; Selby, D.A.; Huang, Y.; Patnaik, A.; Flaxman, S.; Calinescu, A.",2026,Benchmarking Missing Data Imputation Methods in Socioeconomic Surveys,C,NO,Benchmarks existing imputation methods on socioeconomic survey data using missingness mechanisms as empirical evaluation settings.,SKIP
"Spineli, L.M.; Kalyvas, C.; Papadimitropoulou, K.",2021,Continuous(ly) missing outcome data in network meta-analysis: A one-stage pattern-mixture model approach,D,NO,Classical statistical pattern-mixture model for network meta-analysis missing outcome data; does not involve deep learning.,SKIP
"Abate, A.F.; Cascone, L.; Fraenza, V.; Nappi, M.; Ritrovato, P.",2026,Constrained conditional LLM-based imputation via iterative chained updates,B,NO,Explores LLM-based conditional imputation via chained updates. Included in REVIEW per tie-breaker rule to verify full-text handling of conditional missingness assumptions.,REVIEW
"Wu, H.; Lee, C.H.; Abiri, N.; Ionita-Laza, I.",2026,DOMAIN-AWARE MATRIX COMPLETION FOR PHENOTYPE IMPUTATION USING ELECTRONIC HEALTH RECORD DATA WITH APPLICATIONS IN GENOMIC RESEARCH,D,NO,Domain-aware statistical matrix completion method for phenotype prediction in EHR biobanks; not a deep learning model.,SKIP
