authors,year,title,category,time_series,reasoning,verdict
"Samad, MD; Abrar, S; Diawara, N",2022,Missing value estimation using clustering and deep learning within multiple imputation framework,B,NO,Embeds DNNs within the MICE multiple imputation framework and explicitly analyzes model shortcomings when missingness is missing not at random (MNAR).,REVIEW
"Costa, AF; Santos, MS; Soares, JP; Abreu, PH",2018,Missing Data Imputation via Denoising Autoencoders: The Untold Story,C,NO,"Uses MCAR, MAR, and MNAR as synthetic experimental evaluation settings to benchmark stacked denoising autoencoders against standard baselines.",SKIP
"Sarmiento, D.R.; Ramos, J.D.; Pacheco, M.J.",2026,KAI: A Scalable Kalman-Attention Imputation Method for Robust Inference in Probabilistic Data,B,YES,"Combines Kalman smoothing with self-attention for multivariate time series, explicitly addressing uncertainty propagation, covariance consistency, and interval coverage under multiple imputation across MCAR/MAR/MNAR.",REVIEW
"Beaulieu-Jones, B.K.; Moore, J.H.",2017,Missing data imputation in the electronic health record using deeply learned autoencoders,C,NO,Evaluates deep autoencoders vs traditional MI on simulated MCAR and MNAR experimental benchmark settings in EHR data.,SKIP
"Burgess, S.; Seaman, S.; Lawlor, D.A.; Casas, J.P.; Thompson, S.G.",2011,Missing data methods in mendelian randomization studies with multiple instruments,D,NO,Classical epidemiological study on Mendelian randomization methods; does not involve deep learning.,SKIP
"Hu, Z.; Gao, Y.; Cai, G.; Liu, M.; Ke, Y.; Ruan, Y.",2026,ImputeLLM: A prompt-free large language model framework for robust time-series imputation in HVAC systems,C,YES,Proposes an LLM-based architecture for time-series imputation in HVAC systems without addressing formal statistical missingness mechanisms or validity guarantees.,SKIP
"Biswas, A.; Rao, J.N.K.",2004,Missing responses in adaptive allocation design,D,NO,Classical statistical literature on adaptive design of experiments; no deep learning component.,SKIP
"Idri, A.; Kadi, I.; Abnane, I.; Fernandez-Aleman, J.L.",2020,Missing data techniques in classification for cardiovascular dysautonomias diagnosis,D,NO,Applied medical classification with missing inputs rather than a DL-statistics mechanism bridge.,SKIP
"Zhou, Y.; Bouadjenek, M.R.; Aryal, S.",2024,Missing Data Imputation: Do Advanced ML/DL Techniques Outperform Traditional Approaches?,C,UNCLEAR,Empirical benchmark survey comparing ML/DL vs traditional imputation methods across missingness experimental settings.,SKIP
"Luu, T.-T.; Nguyen, T.-B.; Ngo, M.-M.",2026,Missing data imputation using Neural Cellular Automata,C,UNCLEAR,Proposes a novel neural cellular automata architecture for data imputation; standard algorithmic paper without formal statistical mechanism bridge.,SKIP
"Xie, C.; Li, R.; Li, Y.; Xie, H.; Liu, Q.",2025,Imputation of Missing Data in Materials Science through Nearest Neighbors and Iterative Predictions,D,NO,Applied materials science paper using nearest neighbors and iterative predictions (non-DL ML methods).,SKIP
"Erman, K.N.; Cnar, A.C.",2025,Missing Data Imputation in Healthcare Datasets Using GAIN and KNN,C,NO,Empirical study applying GAIN (Generative Adversarial Imputation Nets) and KNN to healthcare datasets.,SKIP
"Chiu, P.C.; Selamat, A.; Krejcar, O.; Kuok, K.K.; Bujang, S.D.A.; Fujita, H.",2022,Missing Value Imputation Designs and Methods of Nature-Inspired Metaheuristic Techniques: A Systematic Review,D,UNCLEAR,"Systematic review focused on nature-inspired metaheuristic optimization algorithms for imputation, not deep learning.",SKIP
"Cosma, A.; Kostyrka, A.V.; Tripathi, G.",2026,Missing Endogenous Variables in Conditional Moment Restriction Models,D,NO,Econometric statistical theory paper on conditional moment restriction models; does not involve deep learning.,SKIP
