authors,year,title,category,time_series,reasoning,verdict
"Sun, GR; Zhou, YH",2026,Generative conditional missing imputation networks,A,NO,Abstract explicitly describes elucidating the theoretical underpinnings and demonstrating robust properties under MCAR and MAR mechanisms for a generative conditional neural network framework.,REVIEW
"Dong, WN; Fong, DYT; Yoon, JS; Wan, EYF; Bedford, LE; Tang, EHM; Lam, CL",2021,Generative adversarial networks for imputing missing data for big data clinical research,C,NO,Mentions MAR solely as an experimental simulation condition (20% and 50% missingness) to evaluate empirical accuracy of GAIN versus MICE and missForest.,SKIP
"Willis, C.; Goodin, D.A.; Miller, H.A.; Suliman, S.; Frieboes, H.B.",2026,Evaluation of accuracy and potential biases of imputation methods on biomedical datasets subject to different mechanisms and patterns of missingness,B,NO,"Substantively evaluates accuracy, coverage, and bias (mean, standard deviation estimation under MNAR) of imputation methods (including ANNs) across MCAR, MAR, and MNAR mechanisms.",REVIEW
"Ipsen, N.B.; Mattei, P.-A.; Frellsen, J.",2022,HOW TO DEAL WITH MISSING DATA IN SUPERVISED DEEP LEARNING?,B,NO,Substantively addresses supervised deep learning under MAR features by marginalizing over missing values in joint covariate-outcome models using importance-weighted variational inference to mimic multiple imputation.,REVIEW
"Yao, L.; Sun, Z.; Wang, Q.",2010,Estimation of average treatment effects based on parametric propensity score model,D,NO,Classical statistical paper on parametric propensity score models for treatment effect estimation; does not involve deep learning imputation.,SKIP
"Othman, L.B.; Niloofar, P.; Yahia, S.B.",2024,GENERATION: An Efficient Denoising Autoencoders-Based Approach foAmputated Image Reconstruction,D,NO,Focuses on computer vision image reconstruction/inpainting with denoising autoencoders rather than statistical data imputation or missingness mechanism validity.,SKIP
"Ahmad, N.; Kumar, V.",2025,Enhancing PM2.5 Air Pollution Forecasting with Novel Random Imputation Based on Hybrid RNN-Bidirectional GRU (nRI RNN-BiGRU) Model,D,YES,Applied environmental air pollution forecasting using RNN-BiGRU with ad-hoc random imputation; lacks engagement with statistical missingness mechanisms or formal validity.,SKIP
"Zhou, F.; Li, T.; Zhou, H.; Ye, J.; Zhu, H.",2019,Graph-based semi-supervised learning with nonignorable nonresponses,B,NO,"Substantively addresses nonignorable nonresponses (MNAR) in graph-based semi-supervised learning, directly engaging with non-ignorable missingness mechanisms in deep graph models.",REVIEW
"Shahabi Sani, N.; Najiantabriz, F.; Shafaei, S.; Hougen, D.",2026,Evolving Multi-Channel Confidence-Aware Activation Functions for Missing Data with Channel Propagation,D,UNCLEAR,Proposes evolutionary activation functions for handling missing channel data in multi-channel signals; does not address missingness mechanisms or statistical validity.,SKIP
"Komnata, K.; Komnata, J.; Horzyk, A.; Komnata, W.; Szyd, M.",2026,Enhancing Predictive Capabilities with Analogy Associative Graphs for Incomplete Datasets,D,NO,Proposes associative graph representations for predictive modeling on incomplete datasets without addressing statistical missingness mechanisms or deep learning imputation validity.,SKIP
