authors,year,title,category,time_series,reasoning,verdict
"Kline, A; Luo, Y",2025,Using item response theory as a methodology to impute categorical missing values,C,NO,Evaluates an Item Response Theory (IRT) psychometric method against ML/DL baselines (DataWig) under MCAR and MAR as experimental evaluation conditions; does not provide formal proofs or validity analysis for DL imputation.,SKIP
"Lim, DK; Rashid, NU; Oliva, JB; Ibrahim, JG",2025,Unsupervised Imputation of Non-Ignorably Missing Data Using Importance-Weighted Autoencoders,A,NO,"Abstract explicitly presents a formal treatment of Variational Autoencoders (VAEs) under ignorable and non-ignorable (MNAR) missingness mechanisms, deriving an approximate posterior distribution for proper multiple imputation.",REVIEW
"Pereira, RC; Abreu, PH; Rodrigues, PP",2024,Siamese Autoencoder Architecture for the Imputation of Data Missing Not at Random,B,NO,"Specifically designs a novel deep learning architecture (Siamese Autoencoder) with custom loss functions tailored for MNAR data, substantively addressing model behavior and performance under non-ignorable missingness.",REVIEW
"Bashir, N; Mir, AA; Daud, A; Rafique, M; Bukhari, A",2024,Time Series Reconstruction With Feature-Driven Imputation: A Comparison of Base Learning Algorithms,C,YES,"Evaluates machine learning and deep boosting models on soil radon time series; treats MCAR, MAR, and MNAR missingness strictly as synthetic experimental benchmark settings (15%, 25%, 45% missing rates).",SKIP
"Rejeb, S.; Duveau, C.; Rebafka, T.",2022,Self-organizing maps for exploration of partially observed data and imputation of missing values,B,NO,"Examines Self-Organizing Maps (SOM neural networks) for missing value imputation; abstract missing in export, retained for REVIEW under inclusion guidelines to verify statistical validity treatment.",REVIEW
"Song, X.; Ye, Y.; Yu, J.J.Q.",2021,TINet: Multi-dimensional Traffic Data Imputation via Transformer Network,C,YES,Applied deep learning Transformer architecture for multi-dimensional spatio-temporal traffic data imputation; treats missingness patterns as standard experimental evaluation settings.,SKIP
"Madley-Dowd, P.; Hughes, R.; Tilling, K.; Heron, J.",2019,The proportion of missing data should not be used to guide decisions on multiple imputation,D,NO,Classic biostatistical methodology paper on multiple imputation guidelines in epidemiology; contains no deep learning methods or architectures.,SKIP
"Liu, M.; Wei, L.; Zhang, J.",2006,Review of guidelines and literature for handling missing data in longitudinal clinical trials with a case study,D,YES,"Biostatistical review paper from 2006 covering traditional clinical trial missing data guidelines (LOCF, MMRM, MI); no deep learning involved.",SKIP
"Lotfipoor, A.; Patidar, S.; Jenkins, D.P.",2023,Transformer network for data imputation in electricity demand data,C,YES,Applied engineering paper using a Transformer neural network for electricity demand time series imputation under standard benchmark missing scenarios.,SKIP
"Abbasi, M.; Jassoma, K.; Nassereddine, M.",2025,Robust Smart Grid Stability Prediction Under Missing Data: A Hybrid Data Imputation and Ensemble Learning Approach,D,YES,Focuses on smart grid stability prediction under missing data using hybrid imputation and ensemble learning; applied engineering predictive modeling rather than DL-statistics theoretical bridge.,SKIP
"Mitra, R.; Dunson, D.",2010,Two-level stochastic search variable selection in GLMs with missing predictors,D,NO,Traditional Bayesian biostatistical paper on GLM variable selection with missing predictors; does not involve deep learning.,SKIP
"Dai, Z.; Getzen, E.; Long, Q.",2024,SADI: Similarity-Aware Diffusion Model-Based Imputation for Incomplete Temporal EHR Data,B,YES,Develops a similarity-aware deep diffusion model for temporal EHR imputation; engages with statistical structure and validity in generative diffusion models for incomplete medical time series (retained for REVIEW).,REVIEW
"van Oers, B.P.; Baysal Erez, I.; van Keulen, M.",2026,Sparse GAIN: Imputation Methods to Handle Missing Values with Sparse Initialization,C,NO,Proposes an architectural extension (sparse initialization) to Generative Adversarial Imputation Networks (GAIN); missingness mechanisms serve as empirical evaluation conditions.,SKIP
"Keogh, R.H.; White, I.R.",2013,Using full-cohort data in nested case-control and case-cohort studies by multiple imputation,D,NO,Traditional biostatistical methodology paper on multiple imputation in epidemiological study designs; no deep learning components.,SKIP
"Hounmenou, C.G.; Behingan, M.B.; Chrysostome, C.A.; Gneyou, K.E.; Kakaï, R.G.",2024,Robustness of Imputation Methods with Backpropagation Algorithm in Nonlinear Multiple Regression,C,NO,Empirical robustness study of backpropagation neural network imputation in nonlinear regression; treats missingness mechanisms as experimental simulation parameters.,SKIP
