authors,year,title,category,time_series,reasoning,verdict
"Bekhit, M; Salah, A; Alrawahi, AS; Attia, T; Ali, A; Eldesouky, E; Fathalla, A",2025,MoCap-Impute: A Comprehensive Benchmark and Comparative Analysis of Imputation Methods for IMU-Based Motion Capture Data,C,YES,"Evaluates DL models (SAITS, BRITS, GRU-D, GAIN) across MCAR, block, and value-dependent missingness as benchmark experimental conditions; does not provide formal proofs or substantively analyze statistical validity.",SKIP
"Nor, MHM; Abu Bakar, MA; Ariff, NM; Mohtar, WHMW; Lee, BKB",2025,Navigating the missing data maze: exploring multiple imputation techniques for environmental performance index data,D,NO,"Focuses on traditional ML methods (MICEForest, MissForest, kNN) for cross-sectional EPI data and suggests DL only as future work; does not propose or formally evaluate a DL imputation method.",SKIP
"Ren, WH; Liu, Z; Wu, YQ; Zhang, ZL; Hong, SD; Liu, HX",2024,Moving Beyond Medical Statistics: A Systematic Review on Missing Data Handling in Electronic Health Records,C,YES,"Systematic review summarizing how EHR studies simulate MCAR, MAR, and MNAR; missingness mechanisms are categorized as experimental evaluation setups across reviewed literature.",SKIP
"Pereira, RC; Abreu, PH; Rodrigues, PP",2022,Partial Multiple Imputation With Variational Autoencoders: Tackling Not at Randomness in Healthcare Data,B,NO,"Substantively engages with the MNAR missingness mechanism in deep generative models, introducing a VAE extension with partial multiple imputation specifically designed to tackle single-sample bias under MNAR.",REVIEW
"Dai, ZY; Bu, ZQ; Long, Q",2022,Multiple Imputation with Neural Network Gaussian Process for High-dimensional Incomplete Data,A,NO,"Formally grounds deep learning (Neural Network Gaussian Process) in Bayesian statistics, sampling from the joint posterior predictive distribution to guarantee proper multiple imputation and statistical inference under MCAR, MAR, and MNAR.",REVIEW
"Dai, ZY; Bu, ZQ; Long, Q",2021,Multiple Imputation via Generative Adversarial Network for High-dimensional Blockwise Missing Value Problems,A,NO,Proposes MI-GAN and provides explicit theoretical support for deep generative adversarial multiple imputation operating under MAR to guarantee proper statistical inference and consistency.,REVIEW
"Venugopal, V.; Tanna, P.",2023,Missing Value Imputation Techniques Used in Deep Learning Algorithms: A Review,D,NO,Broad qualitative review of missing value techniques in ML/DL workflows; does not analyze missingness mechanisms (MCAR/MAR/MNAR) or formal statistical inference.,SKIP
"Liu, D.; Oberman, H.I.; Muñoz, J.; Hoogland, J.; Debray, T.P.A.",2023,"Quality control, data cleaning, imputation",C,YES,Book chapter reviewing data quality and imputation concepts (including informative missingness) for real-world data; does not develop or formally analyze a DL imputation method.,SKIP
"Lakshmi, N.V.; Danish, F.; Dar, J.G.; Gandara, F.A.F.",2026,Non-response adjusted mean estimation using tool wear and torque data in predictive maintenance systems,D,YES,Focuses on survey-style non-response weight adjustment for mean estimation in mechanical sensor streams; does not involve deep learning imputation or statistical validity proofs for neural networks.,SKIP
"Yamaguchi, Y.; Yoshida, S.; Misumi, T.; Maruo, K.",2022,Multiple imputation for longitudinal data using Bayesian lasso imputation model,D,YES,Proposes a parametric Bayesian lasso model for longitudinal multiple imputation; does not involve deep learning architectures.,SKIP
