authors,year,title,category,time_series,reasoning,verdict
Liu et al.,2023,"Quality control, data cleaning, imputation",B,NO,"This chapter substantively reviews the statistical validity of machine learning and neural network imputation methods, discussing Rubin's rules, proper imputation, and missingness mechanisms (MAR/MNAR) without presenting new mathematical proofs.",REVIEW
Rajora et al.,2026,Refining Open-Source Asset Management Tools: AI-Driven Innovations for Enhanced Reliability and Resilience of Power Systems,C,NO,The paper applies MICE and GAN-based imputation as a practical data preprocessing step for power system asset management without examining the statistical connection between deep learning and Rubin's inference framework.,SKIP
Wang et al.,2026,Research on Multi-dimensional Feature Fusion Model for Osteoporosis Risk Assessment Based on Deep Learning,C,NO,"The study uses MICE as a standard preprocessing routine prior to multimodal deep learning for osteoporosis risk assessment, making no theoretical contribution to deep learning statistical validity.",SKIP
Prajesh et al.,2026,Robust and cyber-resilient attention-enhanced deep learning framework for electricity price forecasting under false data injection attacks,C,YES,"Missing value treatment is included as an initial preprocessing step for deep learning electricity price forecasting under cyber attacks, with no theoretical analysis of imputation inference.",SKIP
Xiong et al.,2025,Probabilistic indirect models for undrained shear strength: addressing significant data missing and variability with advanced imputation and machine learning techniques,C,NO,The paper empirically compares standard imputation techniques like MICE and MissForest as data cleaning steps for geotechnical machine learning models without theoretically bridging deep learning to Rubin's framework.,SKIP
Feng et al.,2025,Probabilistic time-dependent corrosion wastage model for offshore platforms using stepwise Bayesian inference,C,YES,The paper applies a reverse diffusion model for denoising and HMC Bayesian inference for offshore structural corrosion parameters without connecting deep learning imputation to Rubin's statistical missing data framework.,SKIP
Yang et al.,2025,Product Life Cycle Assessment Method Based on Incomplete Information Imputation,C,NO,"The paper uses neural networks and multiple imputation as practical data completion tools for life cycle assessment of mechanical components, without theoretical missing data analysis.",SKIP
Gao et al.,2025,Reliable imputation of incomplete crash data for predicting driver injury severity,C,NO,"The paper proposes a Transformer-GNN architecture for crash data imputation and cites MICE as background, focusing on downstream predictive accuracy rather than formal statistical validity.",SKIP
Yu et al.,2025,Research on Missing Data Estimation Method for UPFC Submodules Based on Bayesian Multiple Imputation and Support Vector Machines,C,YES,"The paper combines Bayesian multiple imputation with SVM for power system monitoring data, mentioning deep learning models only as empirical baselines rather than establishing a theoretical statistical bridge.",SKIP
Zhou et al.,2025,Risk factors for postoperative respiratory failure in patients undergoing cardiovascular surgery and construction of a prediction model,C,NO,The paper uses multiple imputation as a standard data cleaning technique prior to feature selection and machine learning modeling for surgical risk prediction.,SKIP
Zhou et al.,2024,Probabilistic neural network based visual data mining for the healthcare sector,C,NO,"The paper presents an analytics suite for healthcare data mining that mentions multiple imputation only as background, offering no theoretical bridge between deep learning and Rubin's rules.",SKIP
Zhao et al.,2024,Production prediction methods for fractured shale oil wells,C,YES,"Multiple imputation is used for outlier detection and missing data expansion prior to training a neural network for oil production prediction, without theoretical statistical analysis.",SKIP
Zhou et al.,2024,Rear-end Crash Data Imputation Methods Using Generative Adversarial Networks,C,NO,The paper applies GAIN to traffic crash data imputation and compares it empirically against MICE and MissForest based on downstream predictive accuracy without examining statistical validity theory.,SKIP
Suh et al.,2024,Repurchase Prediction Using Survival Ensembles in CRM Systems for Home Appliance Business,C,YES,"Multiple imputation is employed solely as a data preprocessing step prior to survival analysis deep learning models, with no discussion of formal statistical validity.",SKIP
Godet et al.,2024,Risk factors for emergency surgery for diverticulitis: A retrospective multicentric French study at 41 hospitals,C,NO,The paper applies MICE as a standard statistical preprocessing method for missing clinical covariates in a retrospective medical cohort study.,SKIP
Yang et al.,2023,Propensity score analysis with missing data using a multi-task neural network,C,NO,"The paper introduces a multi-task neural network for propensity score estimation and missing value filling under MCAR, MAR, and MNAR scenarios, focusing on empirical causal effect estimation rather than theoretical statistical validity.",SKIP
Basakin et al.,2023,Providing a comprehensive understanding of missing data imputation processes in evapotranspiration-related research: a systematic literature review,C,YES,"The paper is a systematic literature review on evapotranspiration missing data imputation that surveys classical and deep learning methods, mentioning statistical missingness assumptions only as background.",SKIP
Zhao et al.,2023,Revisiting Structured Variational Autoencoders,C,YES,"The paper revisits structured variational autoencoders for sequential data and approximate posterior inference with missing data, focusing on implementation efficiency rather than Rubin's statistical framework.",SKIP
Lu et al.,2023,Robust and Scalable Gaussian Process Regression and Its Applications,C,NO,"The paper develops a scalable Gaussian process regression model via variational learning for handling outliers and missing values, focusing on machine learning optimization rather than Rubin's missing data framework.",SKIP
Du et al.,2023,SAITS: Self-attention-based imputation for time series,C,YES,"The paper proposes a self-attention deep learning model for time series imputation, mentioning missingness mechanisms only as background without establishing a theoretical link to Rubin's framework.",SKIP
ACML et al.,2022,"Proceedings of the 14th Asian Conference on Machine Learning, ACML 2022",C,NO,"This conference proceedings volume lists papers on various machine learning topics, including a study on neural network Gaussian processes for imputation, but as a volume does not constitute a dedicated formal paper on Rubin's framework.",SKIP
Espinosa et al.,2021,Rainfall trends over a North Atlantic small island in the period 1937/1938-2016/2017 and an early climate teleconnection,C,YES,The study uses MICE as a standard preprocessing method to fill gaps in daily rainfall time series before conducting climate trend analysis.,SKIP
Xu et al.,2021,Research on Missing Data Imputation Based on Conditional Variational Autoencoder,C,NO,"The paper presents a Conditional Variational Autoencoder model for generating multiple imputations through latent space sampling, evaluating it purely empirically without formal statistical proofs.",SKIP
Chen et al.,2019,Research on Data Interpolation Model with Missing Data for Intelligent Greenhouse Control,C,YES,"The paper proposes a fuzzy neural network model for greenhouse temperature interpolation, mentioning posterior distribution estimation only as background.",SKIP
Gu et al.,2017,Research on Inventory Forecasting Based on BP Neural network,C,YES,Multiple imputation is used as a preprocessing step to generate complete samples for BP neural network inventory forecasting without theoretical statistical discussion.,SKIP
Nishanth et al.,2016,Probabilistic neural network based categorical data imputation,C,NO,"The paper introduces a Probabilistic Neural Network model for categorical data imputation and compares it empirically against statistical baselines, without addressing Rubin's formal validity framework.",SKIP
Gheyas et al.,2009,Reconstruction of Cross-Sectional Missing Data Using Neural Networks,C,NO,The paper proposes a Generalized Regression Neural Network imputation method and evaluates it empirically against traditional MI algorithms without establishing a formal statistical proof or validity analysis.,SKIP
Zhou et al.,2026,Reinforcement learning and neural network-driven student psychological crisis intervention strategy,D,NO,"The study focuses on neural network and reinforcement learning models for student psychological crisis intervention, addressing missing data only through routine validation.",SKIP
Simon et al.,2025,"Secondary Prevention of AFAIS: Deploying Traditional Regression, Machine Learning, and Deep Learning Models to Validate and Update CHA2DS2-VASc for 90-Day Recurrence",D,NO,The paper focuses on clinical risk prediction rules using deep learning and machine learning without addressing missing data theory or deep learning imputation framework bridges.,SKIP
IEEE et al.,2023,"Proceedings - 2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems, ICPS 2023",D,NO,This entry is an entire conference proceedings volume containing diverse industrial papers without a main focus on deep learning imputation inference theory.,SKIP
