authors,year,title,category,time_series,reasoning,verdict
Piadeh et al.,2026,Automated novel real-time framework for rainfall data imputation in flood early warning systems,D,YES,The paper proposes a decision tree and KNN ensemble framework for real-time rainfall data imputation without addressing statistical missing data theory.,SKIP
Poyam et al.,2025,Assessment of performance of conventional and machine learning methods for estimating missing precipitation data,D,YES,The paper evaluates ANN and LSTM models against conventional methods for precipitation data using predictive error metrics without connecting to statistical inference theory.,SKIP
Moon et al.,2025,AUGMENTED DOUBLY ROBUST POST-IMPUTATION INFERENCE FOR PROTEOMIC DATA,A,NO,The paper provides a formal statistical framework with provable properties combining variational autoencoders with doubly robust estimation for valid post-imputation inference.,REVIEW
So et al.,2025,Application of machine learning methods in the imputation of heterogeneous co-missing data,C,NO,"The paper evaluates machine learning clustering methods combined with multiple imputation empirically, mentioning multiple imputation only as background.",SKIP
Sharma et al.,2025,"Application of deep learning techniques for analysis and prediction of particulate matter at Kota city, India",C,YES,The paper uses multiple imputation in XLSTAT as a standard preprocessing step before applying LSTM and GRU models for particulate matter prediction.,SKIP
Lisik et al.,2024,Artificial intelligence in pediatric allergy research,C,NO,The paper is a broad review of artificial intelligence applications in pediatric allergy research that mentions missing data and multiple imputation in passing.,SKIP
Xin et al.,2024,An enhanced feature extraction based long short-term memory neural network for wind power forecasting via considering the missing data reconstruction,C,YES,The paper applies standard multiple imputation as a preprocessing step to reconstruct missing samples before wind power forecasting with a CNN-LSTM architecture.,SKIP
Meng et al.,2025,Applying machine learning to understand the role of social-emotional skills on subjective well-being and physical health,D,NO,The paper applies machine learning algorithms to survey data for well-being prediction without addressing deep learning imputation theory or statistical validity.,SKIP
Kim et al.,2024,An Unsupervised Data-Mining and Generative-Based Multiple Missing Data Imputation Network for Energy Dataset,C,YES,"The paper proposes a generative adversarial network for multiple imputation of energy data, but evaluates it empirically without establishing a theoretical bridge to Rubin's inference framework.",SKIP
El Emam et al.,2024,An evaluation of the replicability of analyses using synthetic health data,B,NO,"The paper substantively evaluates the statistical validity of generative AI synthetic data under Rubin's combining rules, analyzing confidence interval coverage, bias, and population inference.",REVIEW
Wang et al.,2022,Are deep learning models superior for missing data imputation in surveys? Evidence from an empirical comparison,B,NO,"The paper substantively evaluates deep learning imputation models (GAIN, MIDAS) against MICE using repeated sampling properties, bias, MSE, and confidence interval coverage under Rubin's framework.",REVIEW
Samal et al.,2021,An improved pollution forecasting model with meteorological impact using multiple imputation and fine-tuning approach,C,YES,The paper uses KNN imputation as a data preprocessing routine before training a Convolutional LSTM sparse autoencoder for pollution forecasting.,SKIP
Dillard et al.,2021,Artificial Intelligence Application in Combustion Modeling,C,NO,The paper applies standard MICE to impute missing fluid properties in physical test datasets before fitting machine learning regression models.,SKIP
