authors,year,title,category,time_series,reasoning,verdict
Lall et al.,2023,Efficient Multiple Imputation for Diverse Data in Python and R: MIDASpy and rMIDAS,B,NO,Substantively discusses deep learning multiple imputation using denoising autoencoders to enable valid statistical inference under Rubin's framework without providing formal convergence proofs.,REVIEW
Abkar et al.,2026,Designing an explainable algorithm based on XGBoost and genetic algorithm for predicting hospitalization needs of COVID-19 patients,C,NO,Mentions MICE only as a routine clinical preprocessing technique for handling missing variables in COVID-19 risk prediction.,SKIP
Lei et al.,2026,Development and External Validation of an Explainable Machine-Learning Model for Predicting Postoperative Pulmonary Complications in Older Adults Undergoing Degenerative Spine Surgery,C,NO,Uses multiple imputation as a routine preprocessing step to handle missing clinical variables before training perioperative machine learning models.,SKIP
Shi et al.,2026,Development and validation of a prediction model for moderate-to-severe radiation dermatitis in patients with nasopharyngeal carcinoma: A machine learning study,C,NO,Uses Multiple Imputation by Chained Equations (MICE) purely as a standard data preprocessing step before building clinical machine learning prediction models.,SKIP
Wang et al.,2026,Development of a machine learning-based prediction model for postoperative delirium in frail elderly patients undergoing noncardiac surgery under general anesthesia,C,NO,Applies MICE as standard preprocessing for clinical variables prior to training machine learning models for postoperative delirium prediction.,SKIP
Ali et al.,2025,Dynamic Bayesian KNN with Confidence Intervals: A Reliable Imputation Method for High-Dimensional and Sparse Data,C,NO,Mentions MICE and GAIN as empirical imputation baselines without examining statistical inference theory or Rubin's framework.,SKIP
Ben Achour et al.,2025,Development of an artificial intelligence model for predicting the etiology of venous thromboembolism,C,NO,Mentions MICE in passing as a preprocessing step prior to training neural network models for predicting venous thromboembolism etiology.,SKIP
Hu et al.,2025,Development of a warning model for drug-induced liver injury in the older patients,C,NO,Employs Random Forest multiple imputation purely as a data preparation step for clinical drug-induced liver injury prediction.,SKIP
O'Sullivan et al.,2025,Efficient Likelihood and Machine-Learning Models for Spatiotemporal Rainfall Estimation and Imputation,C,YES,Mentions MICE regression baselines in passing when evaluating proposed spatiotemporal DeepKriging and likelihood models on rainfall time series.,SKIP
Pittala et al.,2025,Enhanced High-Dimensional Data Prediction using Additive Square Lasso-based Imputation and Deep Learning Architectures,C,YES,Mentions multiple imputation in the context of an applied predictive framework combining Lasso and RNN-LSTM without addressing statistical validity theory.,SKIP
Saini et al.,2025,DMDI-Extended: Robust and Uncertainty-Aware Deep Imputation for Reliable Intrusion Detection Systems,C,NO,"Combines denoising autoencoders and XGBoost for multiple imputation in intrusion detection, focusing on empirical detection accuracy rather than Rubin's statistical validity theory.",SKIP
Saxena et al.,2025,Early detection of mental health conditions using multimodal generative AI with MI-GBF and fusion-three branch network,C,NO,Mentions Multiple Imputation with Graph-Based Filtering (MI-GBF) as a data cleaning step in a multimodal generative AI pipeline.,SKIP
Wang et al.,2025,Development and Validation of an Interpretable Machine Learning Model for Predicting Early Fusion After Anterior Cervical Discectomy and Fusion,C,NO,Applies multiple imputation as standard data preparation prior to training gradient boosting models for surgical outcome prediction.,SKIP
Ahammed et al.,2024,Enhanced wind velocity imputation near building structures using advanced machine learning techniques,C,YES,Evaluates GAIN and MICE as predictive tools for missing instantaneous wind velocity time-series data without addressing statistical inference theory.,SKIP
Ma et al.,2024,Edge-cloud collaboration-driven predictive planning based on LSTM-attention for wastewater treatment,C,YES,Uses MICEForest as a routine preprocessing tool for missing values prior to LSTM-Attention time-series modeling for wastewater treatment.,SKIP
López et al.,2021,Effect of missing data on short time series and their application in the characterization of surface temperature by detrended fluctuation analysis,C,YES,Mentions multiple imputation as background comparison when evaluating detrended fluctuation analysis on short surface temperature time series.,SKIP
Köse et al.,2020,Effect of Missing Data Imputation on Deep Learning Prediction Performance for Vesicoureteral Reflux and Recurrent Urinary Tract Infection Clinical Study,C,NO,Mentions MICE and FAMD in passing as empirical preprocessing options before running deep learning classifiers on clinical data.,SKIP
Fernandes et al.,2010,Different Methodologies for Patient Stratification Using Survival Data,C,NO,Uses multiple imputation solely as a routine data handling method prior to fitting neural network survival models for breast cancer prognosis.,SKIP
Ayuyev et al.,2009,Dynamic Clustering-Based Estimation of Missing Values in Mixed Type Data,C,NO,Mentions multiple imputation as a benchmark baseline when evaluating a proposed dynamic clustering method on social science datasets.,SKIP
Tao et al.,2026,Dual-dimensional adaptive sequential learning: Enhanced fault diagnosis under multivariate data missing,D,YES,Proposes a sequential learning framework for sensor fault diagnosis using GAIN without addressing statistical missing data inference theory.,SKIP
Khafaga et al.,2025,Enhanced early chronic kidney disease prediction using hybrid waterwheel plant algorithm for deep neural network optimization,D,NO,Focuses on optimizing a deep neural network for chronic kidney disease prediction without addressing statistical imputation theory.,SKIP
Bejugam et al.,2024,Diabetes Prediction using Deep Ensemble Network,D,NO,Focuses on early diabetes diagnosis using a deep ensemble network and bio-inspired feature selection without statistical missing data theory.,SKIP
Murukesh et al.,2024,Downscaling and reconstruction of high-resolution gridded rainfall data over India using deep learning-based generative adversarial network,D,YES,Focuses on spatial super-resolution of rainfall data using SRGAN without referencing statistical missing data inference theory.,SKIP
Shih et al.,2023,Distinguishing Bladder Cancer from Cystitis Patients Using Deep Learning,D,NO,Develops deep learning models for medical diagnosis using oversampling and feature selection without addressing missing data inference theory.,SKIP
Telyatnikov et al.,2023,EGG-GAE: scalable graph neural networks for tabular data imputation,D,NO,Proposes a graph autoencoder architecture for tabular missing data reconstruction evaluated on imputation error rather than statistical inference validity.,SKIP
Liu et al.,2022,Development and validation of a meta-learner for combining statistical and machine learning prediction models in individuals with depression,D,NO,Combines statistical regression and neural networks for clinical outcome prediction without addressing missing data theory or imputation validity.,SKIP
Pan et al.,2021,Energy Consumption Prediction of a CNC Machining Process With Incomplete Data,D,NO,Applies GAIN as an algorithmic tool for point imputation in manufacturing energy prediction without connecting it to statistical inference theory.,SKIP
Yan et al.,2021,Emerging approaches applied to maritime transport research: Past and future,D,NO,A domain review of machine learning applications in maritime shipping and port operations that does not address statistical imputation theory.,SKIP
Kros et al.,2006,Effects of the neural network s-Sigmoid function on KDD in the presence of imprecise data,D,NO,Evaluates neural network transfer function sensitivity to missing data levels without discussing statistical inference theory or Rubin's framework.,SKIP
Sharma et al.,2004,Effect of missing values estimations on traffic parameters,D,YES,Evaluates neural networks and ARIMA models for imputing missing hourly traffic count time series without referencing statistical missing data frameworks.,SKIP
