authors,year,title,category,time_series,reasoning,verdict
Sarmiento et al.,2026,KAI: A Scalable Kalman-Attention Imputation Method for Robust Inference in Probabilistic Data,B,YES,"The paper substantively evaluates statistical inference validity, probabilistic calibration, MCAR/MAR/MNAR mechanisms, and interval coverage under multiple imputation for a deep learning time series architecture.",REVIEW
Roskams-Hieter et al.,2023,Leveraging Variational Autoencoders for Multiple Data Imputation,B,NO,"The paper substantively investigates the statistical validity of VAE imputation, addressing empirical coverage, overconfident imputations, generalized Bayes framework for beta-VAEs, and sampling from the posterior distribution of missing values.",REVIEW
Traynor et al.,2021,Imputing Biomarker Status from RWE Datasets-A Comparative Study,B,NO,"The paper substantively evaluates deep learning imputation models against statistical methods, explicitly analyzing missingness mechanisms, distribution shift, and statistical inference validity.",REVIEW
Ergin et al.,2026,Machine learning based identification of key production drivers of sheep population in Turkiye: a century-long analysis with multiple imputation techniques,C,YES,The paper applies multiple imputation as a standard preprocessing step prior to machine learning modeling without evaluating statistical validity or providing formal proofs.,SKIP
Pyrgaki et al.,2026,"Integrated Machine Learning Based Groundwater Quality Prediction in a Peri-Urban Area: The Case of Attica Region, Greece",C,NO,The study uses MICE-PMM solely as a routine missing data preprocessing technique before TabNet classification.,SKIP
Liu et al.,2026,"Latent pain class identification, longitudinal transitions, and machine learning prediction of incident low back pain in middle-aged and older Chinese adults",C,YES,Multiple imputation is used strictly as a data cleaning step for longitudinal health survey data prior to predictive machine learning.,SKIP
Moallemian et al.,2026,Machine learning for missing data imputation in Alzheimer’s research: predicting medial temporal lobe dynamic flexibility,C,NO,"The study empirically benchmarks deep generative imputers (MIWAE, GAIN) against traditional methods in Alzheimer's neuroimaging prediction without formal statistical validity proofs.",SKIP
Tourkmani et al.,2026,"Literature-informed ensemble machine learning for three-year diabetic kidney disease risk prediction in type 2 diabetes: Development, validation, and deployment of the PSMMC NephraRisk model",C,NO,The study applies Bayesian MICE with external priors as a clinical data preparation pipeline for diabetic kidney disease risk prediction.,SKIP
Leite et al.,2025,Machine Learning for Propensity Score Estimation: A Systematic Review and Reporting Guidelines,C,NO,This systematic review on propensity score estimation mentions missing data handling only as a methodology reporting guideline item.,SKIP
Huang et al.,2025,Integration of Multikinds Imputation With Covariance Adaptation Based on Evidence Theory,C,NO,The study focuses on combining multi-kind imputation outputs via evidence theory for classification accuracy rather than analyzing the statistical validity of DL imputation.,SKIP
Ed-Daoudi et al.,2025,Interpretable Machine Learning for Multi-Crop Yield Prediction in Semi-Arid Regions: A Hierarchical Approach to Handle Climate Data Sparsity,C,YES,The study uses MICE as an initial missing data filling step before training hierarchical temporal deep learning models for crop yield prediction.,SKIP
