authors,year,title,category,time_series,reasoning,verdict
Wang et al.,2024,Missing Data Imputation with Uncertainty-Driven Network,A,NO,Formally models uncertainty by deriving the posterior distribution via Neural Network Gaussian Process and reformulating the architecture as an Expectation-Maximization algorithm.,REVIEW
Bu et al.,2023,MISNN: Multiple Imputation via Semi-parametric Neural Networks,A,NO,Mathematically formulates multiple imputation using semi-parametric neural networks and establishes statistical consistency for proper downstream inference under missingness.,REVIEW
Ni & Leonard,2005,Markov chain Monte Carlo multiple imputation using Bayesian networks for incomplete intelligent transportation systems data,A,YES,Formally constructs a Markov chain Monte Carlo sampling framework using Bayesian networks to sample from learned probability distributions for valid multiple imputation inference.,REVIEW
Samad et al.,2022,Missing value estimation using clustering and deep learning within multiple imputation framework,B,NO,Substantively explores replacing linear regressors with deep neural networks inside Rubin's MICE framework and analyzes its statistical validity across missingness mechanisms.,REVIEW
Xue et al.,2019,Mixture-based Multiple Imputation Model for Clinical Data with a Temporal Dimension,B,YES,Substantively formulates a probabilistic multiple imputation framework using Gaussian process mixtures to account for predictive uncertainty in temporal clinical data.,REVIEW
Costa et al.,2018,Missing Data Imputation via Denoising Autoencoders: The Untold Story,B,NO,"Substantively investigates the statistical validity and performance of deep denoising autoencoders relative to MICE across Rubin's three missingness mechanisms (MCAR, MAR, MNAR).",REVIEW
Beaulieu-Jones & Moore,2017,Missing data imputation in the electronic health record using deeply learned autoencoders,B,YES,"Substantively evaluates deep autoencoders against traditional multiple imputation under MCAR and MNAR mechanisms, examining statistical bias and downstream inferential validity without a formal proof.",REVIEW
Fernandes et al.,2008,Missing data imputation in longitudinal cohort studies - application of PLANN-ARD in breast cancer survival,B,YES,Substantively discusses model averaging over imputed distributions and Bayesian neural networks for valid statistical inference in longitudinal survival data.,REVIEW
Zhao et al.,2026,Missing data generation method for rotating machinery by multiple imputation and gated generative adversarial network,C,YES,Integrates multiple imputation with a gated generative adversarial network as an empirical pipeline for rotating machinery sensors without theoretical analysis.,SKIP
Bekhit et al.,2025,MoCap-Impute: A Comprehensive Benchmark and Comparative Analysis of Imputation Methods for IMU-Based Motion Capture Data,C,YES,"Evaluates deep learning and statistical imputation methods on motion capture time series, mentioning missingness mechanisms as benchmark parameters.",SKIP
Kumar & Imambi,2025,MIMIC-EYE: A Secure and Explainable Multi-Modal Deep Learning Framework for Clinical Decision Support,C,YES,"Uses MICE, Deep Kalman Filters, and autoencoders in a multi-modal preprocessing pipeline for clinical decision support without analyzing imputation theory.",SKIP
Ren et al.,2024,Moving Beyond Medical Statistics: A Systematic Review on Missing Data Handling in Electronic Health Records,C,YES,Presents a systematic literature review summarizing EHR missing data methods where Rubin's mechanisms and MICE serve as context rather than theoretical focus.,SKIP
Fan et al.,2023,"Missing data imputation, prediction, and feature selection in diagnosis of vaginal prolapse",C,NO,Empirically compares GAIN and DAE against statistical imputation methods for clinical diagnosis without addressing statistical inference theory.,SKIP
Psychogyios et al.,2023,Missing Value Imputation Methods for Electronic Health Records,C,YES,"Proposes denoising autoencoder and GAN variations for electronic health records, citing traditional statistical imputation techniques purely as baseline benchmarks.",SKIP
Venugopal & Tanna,2023,Missing Value Imputation Techniques Used in Deep Learning Algorithms: A Review,C,NO,"Reviews literature on missing value imputation in machine learning and deep learning, referencing Rubin's mechanisms as general background.",SKIP
Asraf et al.,2022,Missing data imputation of MAGDAS-9′s ground electromagnetism with supervised machine learning and conventional statistical analysis models,C,YES,Benchmarks supervised machine learning models against basic statistical imputation methods on geomagnetic time series data.,SKIP
Marco et al.,2022,Missing Data Imputation Via Stacked Denoising Autoencoder Combined with Dropout Regularization Based Small Dataset in Software Effort Estimation,C,NO,"Evaluates stacked denoising autoencoders for software effort estimation, including MICE as an empirical comparison algorithm.",SKIP
Okafor & Delaney,2021,Missing Data Imputation on IoT Sensor Networks: Implications for on-Site Sensor Calibration,C,YES,Empirically compares variational autoencoders against MICE for IoT sensor calibration without analyzing statistical validity.,SKIP
Friedjungová et al.,2020,Missing Features Reconstruction Using a Wasserstein Generative Adversarial Imputation Network,C,NO,"Introduces Wasserstein GAIN for feature reconstruction, including MICE only as an empirical benchmark baseline.",SKIP
Vrbaski et al.,2020,Missing Data Imputation in Cardiometabolic Risk Assessment: A Solution Based on Artificial Neural Networks,C,NO,"Compares artificial neural networks against simple imputation methods for cardiometabolic risk, mentioning multiple imputation in passing as background.",SKIP
Grisales et al.,2019,Missing data imputation in series of measurements of atmospheric pollutants input for environmental health monitoring,C,YES,Compares multiple imputation and neural networks on air quality pollutant time series datasets empirically.,SKIP
Yu et al.,2019,Missing Data Processing Based on Deep Neural Network Enhanced by K-Means,C,NO,"Combines K-means clustering with deep neural networks for tabular data missingness, mentioning statistical baseline concepts in passing.",SKIP
Jerez et al.,2010,Missing data imputation using statistical and machine learning methods in a real breast cancer problem,C,NO,Compares machine learning and statistical imputation methods for breast cancer outcome prediction without theoretical analysis of missing data theory.,SKIP
López-Molina et al.,2008,Missing values imputation techniques for Neural Networks patterns,C,NO,Applies standard statistical multiple imputation techniques as a data preparation step for neural network training.,SKIP
Junninen et al.,2004,Methods for imputation of missing values in air quality data sets,C,YES,"Evaluates neural networks and hybrid imputation methods for air quality time series, mentioning multiple imputation only as a baseline comparison.",SKIP
Carracciuolo et al.,2026,Mathematical Approaches for the Characterization and Analysis of Molecular Markers in the Study of the Progression and Severity of Amyotrophic Lateral Sclerosis,D,NO,Focuses on mathematical modeling of molecular biomarkers in ALS progression and does not address deep learning imputation theory.,SKIP
Shi et al.,2024,Machine learning-based model for predicting outcomes in cerebral hemorrhage patients with leukemia,D,NO,"Develops a clinical prediction model for cerebral hemorrhage using random forests, applying standard MICE only as routine data preprocessing.",SKIP
Anderson et al.,2021,Modeling and prediction of pressure injury in hospitalized patients using artificial intelligence,D,YES,"Focuses on machine learning prediction of pressure injuries in hospitalized patients, referencing multiple imputation only in indexing tags.",SKIP
Danaci et al.,2021,Machine learning pipeline for quantum state estimation with incomplete measurements,D,NO,Applies machine learning models to quantum state estimation from incomplete projective measurements without addressing missing data inference theory.,SKIP
Namkung,2020,Machine learning methods for microbiome studies,D,NO,Provides an introductory overview of machine learning methods for microbiome host phenotype association studies without addressing missing data imputation.,SKIP
