authors,year,title,category,time_series,reasoning,verdict
Sudak & Tschiatschek,2023,Posterior Consistency for Missing Data in Variational Autoencoders,A,NO,Provides a formal mathematical definition and objective function for posterior consistency in Variational Autoencoders under missing data conditions.,REVIEW
Collier et al.,2025,Optimizing Imputation for Educational Data: Exploring Training Partition and Missing Data Ratios,B,NO,Substantively evaluates the statistical validity of neural network imputation for downstream causal inference (treatment effects and covariate balance) without providing formal mathematical proofs.,REVIEW
Pereira et al.,2022,Partial Multiple Imputation With Variational Autoencoders: Tackling Not at Randomness in Healthcare Data,B,NO,"Substantively discusses statistical validity issues of VAE imputation (single-sample bias, multiple imputation, MNAR mechanisms) but relies on empirical benchmark validation rather than formal theoretical proofs.",REVIEW
Bori et al.,2025,Predicting time to live birth with deep learning embryo ranking: a novel multiple imputation approach,C,NO,"Applies standard statistical multiple imputation (MICE) to handle missing unobserved outcomes for model evaluation, but does not investigate theoretical connections between DL imputation and Rubin's framework.",SKIP
Essel et al.,2024,On the search for efficient face recognition algorithm subject to multiple environmental constraints,C,NO,Leverages MICE as an empirical de-occlusion technique in face recognition without discussing the theoretical link between deep learning imputation and statistical validity.,SKIP
Low et al.,2020,Predicting Commercial Vehicle Parking Duration using Generative Adversarial Multiple Imputation Networks,C,NO,Applies a generative adversarial multiple imputation network as an empirical preprocessing step for parking regression without theoretical analysis of statistical validity.,SKIP
Zhou et al.,2027,Predicting fatal helicopter accidents with missing data: Do data imputation methods affect classification performance and feature explanation?,D,NO,Evaluates empirical classification performance and feature explanations of tabular imputation methods on accident data without discussing statistical inference theory.,SKIP
Mohamad et al.,2026,PM2.5 Forecasting in Almaty: A Benchmarking of Advanced Deep Learning and Hybrid Models,D,YES,Time series forecasting study for air pollution using MICE to handle missing data without addressing deep learning missing data inference theory.,SKIP
Nuevas & Natividad,2026,"Performance Enhancement of GRU-Based Corn Yield Forecasting through MICE Imputation, PCA-Based Feature, and ELU Activation",D,YES,Agricultural time series forecasting study combining MICE preprocessing with GRUs without addressing deep learning missing data inference theory.,SKIP
Fathollahi et al.,2026,Performance of machine learning algorithms in diffusion tensor imaging of movement disorders: an exploratory meta-analysis,D,NO,Meta-analysis on neuroimaging ML models for movement disorders without addressing missing data imputation or statistical theory.,SKIP
Nkenguye et al.,2026,"Predicting Outcomes of Traumatic Brain Injury Using Machine Learning Models Among Patients at Kilimanjaro Christian Medical Centre, Tanzania: A Registry-Based Cohort Study",D,NO,Focuses on clinical outcome prediction in a TBI cohort using machine learning without addressing missing data inference theory.,SKIP
Sannathimmappa et al.,2026,Predicting cardiovascular and neurological complications after COVID-19 vaccination: Insights from a comprehensive review,D,NO,Literature review of post-vaccination clinical complications that does not address missing data imputation or inference theory.,SKIP
Chen et al.,2026,Prior-Knowledge-Guided Missing Data Imputation for Bridge Cracks: A Temperature-Driven SP-VMD-CNN-GRU Framework,D,YES,Proposes an engineering deep learning framework for bridge sensor time series imputation without connecting to statistical missing data inference theory.,SKIP
Weinreich et al.,2025,"Optimised machine learning for time-to-event prediction in healthcare applied to timing of gastrostomy in ALS: a multi-centre, retrospective model development and validation study",D,YES,"Focuses on clinical time-to-event survival modeling in ALS, using random forest imputation merely as a routine data preparation step.",SKIP
Alohali et al.,2025,Optimized deep learning approach for lung cancer detection using flying fox optimization and bidirectional generative adversarial networks,D,NO,Medical CAD classification pipeline for lung cancer using MICE as baseline preprocessing without exploring DL imputation statistical validity.,SKIP
Elbaz et al.,2025,Osedax-GAN: A novel metaheuristic approach for missing pixel imputation imagery for enhanced detection accuracy of freshwater fish diseases in aquaculture,D,NO,Introduces a GAN metaheuristic framework for image pixel restoration in computer vision without connecting to statistical missing data inference theory.,SKIP
Zhuang et al.,2025,Prediction of Short-Term Solar Irradiance Using the ProbSparse Attention Mechanism for a Sustainable Energy Development Strategy,D,YES,Time series solar forecasting study using MICE for data cleaning without addressing deep learning missing data inference theory.,SKIP
Zhang et al.,2025,Prediction of acute and chronic kidney diseases during the post-covid-19 pandemic with machine learning models: utilizing national electronic health records in the US,D,NO,Applies machine learning to predict kidney disease risk from EHR data without examining deep learning imputation or statistical missing data theory.,SKIP
Penchev & Marchev,2024,On the Application of Neural Networks in Credit Scoring: A Case-Study Analysis,D,NO,Applied case study of neural networks for credit scoring using multiple imputation as a standard data preparation step.,SKIP
Lim et al.,2024,Orthography-phonology consistency in English: Theory- and data-driven measures and their impact on auditory vs. visual word recognition,D,NO,Psycholinguistic investigation of word recognition and orthographic consistency that does not pertain to missing data imputation or inference theory.,SKIP
Han & Kang,2023,Optimization of missing value imputation for neural networks,D,NO,Proposes an ensemble imputation optimization scheme to boost neural network predictive accuracy without addressing statistical inference theory or Rubin's framework.,SKIP
Elseddik et al.,2023,Predicting CTS Diagnosis and Prognosis Based on Machine Learning Techniques,D,NO,Clinical machine learning diagnostic and prognostic study for carpal tunnel syndrome that does not cover deep learning imputation theory.,SKIP
Li et al.,2023,Prediction of rockburst intensity grade based on convolutional neural network,D,NO,Proposes a MICE-CNN model for engineering rockburst prediction using MICE for feature interpolation without examining statistical inference theory.,SKIP
Fathima Begum & Narayan,2023,Preprocessing Methods to Improve Performance of Imbalanced Data in Healthcare,D,NO,Evaluates data preprocessing and SMOTE sampling for imbalanced healthcare classification without examining DL imputation statistical theory.,SKIP
Manyol et al.,2022,Preprocessing Approach for Power Transformer Maintenance Data Mining Based on k -Nearest Neighbor Completion and Principal Component Analysis,D,NO,Engineering preprocessing approach using KNN imputation and PCA for transformer maintenance without addressing deep learning statistical inference theory.,SKIP
Guo et al.,2021,Predicting mortality among patients with liver cirrhosis in electronic health records with machine learning,D,NO,"Clinical EHR study predicting cirrhosis mortality using deep neural networks, employing multiple imputation solely as a routine baseline preprocessing step.",SKIP
Kim et al.,2021,Predicting wind flow around buildings using deep learning,D,NO,Imputes missing spatial wind velocity measurements using GAIN and MICE for building aerodynamics without examining statistical missing data theory.,SKIP
Belaghi et al.,2021,Prediction of preterm birth in nulliparous women using logistic regression and machine learning,D,NO,Epidemiological cohort study predicting preterm birth using machine learning that does not address deep learning imputation theory.,SKIP
Lima & Delen,2020,Predicting and explaining corruption across countries: A machine learning approach,D,NO,Empirical machine learning study predicting corruption perception indices that does not cover missing data imputation theory or DL statistical validity.,SKIP
Azadeh et al.,2013,Optimum estimation of missing values in randomized complete block design by genetic algorithm,D,NO,Focuses on genetic algorithm and ANN point estimation for experimental block designs without connecting to deep learning statistical inference theory.,SKIP
