authors,year,title,category,time_series,reasoning,verdict
Dai et al.,2022,Multiple Imputation with Neural Network Gaussian Process for High-dimensional Incomplete Data,A,NO,"Provides a formal Bayesian mathematical framework showing that Neural Network Gaussian Process (NNGP) deep architectures sample directly from the posterior predictive distribution P(X_mis|X_obs) under MCAR, MAR, and MNAR mechanisms.",REVIEW
Dai et al.,2021,Multiple Imputation via Generative Adversarial Network for High-dimensional Blockwise Missing Value Problems,A,NO,Provides a formal mathematical framework and theoretical support establishing that conditional GAN architectures produce proper multiple imputations under MAR mechanisms.,REVIEW
Sepin et al.,2026,Multiple Imputation of a Continuous Outcome with Fully Observed Predictors Using TabPFN,B,NO,"Substantively evaluates statistical validity (bias, standard error, and coverage under Rubin's rules) for TabPFN foundation model imputation without formal mathematical proof.",REVIEW
Amer et al.,2006,Neural Network Imputation In Complex Survey Design,B,NO,"Substantively investigates statistical validity, variance estimation, and imputation uncertainty for neural network imputation under complex survey sampling design.",REVIEW
Ivanov et al.,2026,Multiparametric model of noninvasive diagnosis of neuroblastoma in children based on a novel liquid biopsy marker C18 GD2 and serum tumor markers,C,NO,Applies standard statistical MICE and Rubin's pooling rules as clinical data preprocessing before fitting logistic regression and neural network classifiers.,SKIP
Luo et al.,2026,MS-CTAB-GAN+: A SHAP-Constrained Conditional Tabular GAN for Heart Disease Data Augmentation under Small-Sample Conditions,C,NO,Uses miceforest as a preprocessing data cleaning step before CTAB-GAN+ tabular data augmentation.,SKIP
Vladov et al.,2026,Neural Network Method for Determining Sanctions' Impact on the Administrative Offence Level,C,YES,Mentions multiple imputation as a data preprocessing step in an applied legal economics study using MLP-LSTM.,SKIP
Bocioaga et al.,2025,Neural Network-Based Composite Risk Scoring for Stratification of Fecal Immunochemical Test-Positive Patients in Colorectal Cancer Screening: Findings from South-West Oltenia,C,NO,Uses standard multiple imputation (MICE) as a preprocessing step prior to autoencoder dimensionality reduction and clustering.,SKIP
Hentati Isacsson et al.,2025,Natural language processing models for predicting treatment outcomes in internet-delivered cognitive behavioral therapy,C,NO,Applies multiple imputation as a missing data preprocessing step before training NLP models for therapy outcome prediction.,SKIP
Nor et al.,2025,Navigating the missing data maze: exploring multiple imputation techniques for environmental performance index data,C,NO,"Evaluates classical non-deep learning imputation methods (MICEForest, MissForest, kNN) on environmental index data, mentioning deep learning only in passing.",SKIP
Unknown et al.,2025,"Novel Techniques in Microscopy, NTM 2025 in Proceedings Optica Biophotonics Congress 2025, Part of Optica Biophotonics Congress: Optics in the Life Sciences",C,NO,Mentions multiple imputation in optical neuroimaging as one background topic among 77 optical biophotonics conference abstracts.,SKIP
Zhao et al.,2025,Numerical Control Milling Energy Consumption Prediction Method Considering Incomplete Data,C,YES,Uses denoising autoencoders with expectation maximization for point imputation prior to FEDformer time series energy forecasting.,SKIP
Singh et al.,2024,Neural Network Algorithm in Financial Services: The Effect of Fraud Risk Management and Fraud Prevention,C,NO,Uses multiple imputation as a preprocessing step prior to CNN-BiGRU modeling for microfinance fraud prevention.,SKIP
Fathima et al.,2023,Multiple Imputation by Chained Equations-K-Nearest Neighbors and Deep Neural Network Architecture for Kidney Disease Prediction,C,NO,Combines MICE and KNN as a preprocessing pipeline before passing complete data to a deep neural network classifier.,SKIP
Hu et al.,2023,Multiple Receding Imputation of Time Series Based on Similar Conditions Screening,C,YES,Uses receding Gaussian process regression and LSTM for time series point imputation under the heuristic term multiple receding imputation without statistical inference theory.,SKIP
Li et al.,2023,Multistate time series imputation using generative adversarial network with applications to traffic data,C,YES,"Uses a generative adversarial network (TGAIN) for time series point imputation, referencing multiple imputation concepts without analyzing Rubin's inference theory.",SKIP
Nakahara et al.,2023,Neural Network Approach to Investigating the Importance of Test Items for Predicting Physical Activity in Chronic Obstructive Pulmonary Disease,C,NO,Applies MICE as a preprocessing method for missing clinical values before feeding data into neural network prediction models.,SKIP
Zeng et al.,2023,Neural networks based on attention architecture are robust to data missingness for early predicting hospital mortality in intensive care unit patients,C,NO,"Evaluates attention-based neural network prediction architectures for ICU mortality, using multiple imputation as an empirical baseline.",SKIP
Macias et al.,2022,Multiple imputation using the average code from autoencoders,C,NO,Computes an average autoencoder latent code to generate deterministic point reconstructions rather than valid statistical multiple imputations.,SKIP
Misiuk et al.,2022,Multiple imputation of multibeam angular response data for high resolution full coverage seabed mapping,C,NO,Applies statistical MICE to impute sonar seabed data and trains downstream neural networks on complete datasets without connecting DL architectures to imputation theory.,SKIP
Samal et al.,2022,Multi-output Spatio-temporal air pollution forecasting using neural network approach,C,YES,Mentions multiple imputation as a data preprocessing step for spatio-temporal air pollution forecasting using an LSTM autoencoder.,SKIP
Zhao et al.,2022,Multiple imputation method of missing credit risk assessment data based on generative adversarial networks,C,NO,Proposes MGAIN to generate attribute subsets and averages generated samples into a single point imputation without addressing Rubin's statistical framework.,SKIP
Vi et al.,2021,Multiple Imputation by Generative Adversarial Networks for Classification with Incomplete Data,C,NO,Uses GANs to generate multiple complete training sets for ensemble classification without analyzing Rubin's statistical inference framework.,SKIP
Safi et al.,2020,Multivariate Time Series as Images: Imputation Using Convolutional Denoising Autoencoder,C,YES,"Uses Convolutional Denoising Autoencoders to impute time series converted to images, using MICE only as a baseline benchmark.",SKIP
Miok et al.,2019,Multiple Imputation for Biomedical Data using Monte Carlo Dropout Autoencoders,C,NO,"Applies Monte Carlo dropout within variational autoencoders to generate candidate imputations, evaluating predictive accuracy rather than statistical inference theory.",SKIP
Arroyo et al.,2018,Neural Models for Imputation of Missing Ozone Data in Air-Quality Datasets,C,NO,Applies artificial neural networks to impute missing ozone data as point estimates without statistical inference theory.,SKIP
Song et al.,2018,"Multiple machine learnings revealed similar predictive accuracy for prognosis of PNETs from the surveillance, epidemiology, and end result database",C,NO,Uses standard imputation for missing clinical database records before comparing multiple machine learning models.,SKIP
Cao et al.,2026,Neural network for censored expectile regression based on data augmentation,D,NO,Addresses censored expectile regression for survival data rather than missing data imputation or Rubin's framework.,SKIP
Ben Aissia et al.,2017,Multivariate missing data in hydrology - Review and applications,D,NO,Reviews classical multivariate and copula-based imputation methods in hydrology without addressing deep learning techniques.,SKIP
Roberts et al.,2001,On inference for partially observed nonlinear diffusion models using the Metropolis-Hastings algorithm,D,YES,Focuses on classical MCMC sampling for continuous-time stochastic diffusion models without deep learning architectures.,SKIP
