authors,year,title,category,time_series,reasoning,verdict
Sun et al.,2026,Generative conditional missing imputation networks,A,NO,Formally establishes the theoretical underpinnings of Generative Conditional Missing Imputation Networks (GCMI) under MCAR and MAR mechanisms integrated with a multiple imputation framework.,REVIEW
Yoon et al.,2018,GAIN: Missing Data Imputation using Generative Adversarial Nets,A,NO,Formally proves that the hint-vector discriminator mechanism guarantees the generator converges to sampling from the true conditional distribution P(X_mis | X_obs) under MAR.,REVIEW
Chen et al.,2023,Handling high-dimensional data with missing values by modern machine learning techniques,B,NO,"Substantively evaluates the statistical validity of deep learning for estimating inferential parameters such as population means, percentiles, and doubly robust estimators under missingness.",REVIEW
Dong et al.,2021,Generative adversarial networks for imputing missing data for big data clinical research,B,NO,"Substantively evaluates and compares the statistical validity, accuracy, and efficiency of GAIN against MICE across simulated MAR mechanisms in large clinical cohorts.",REVIEW
Yoon et al.,2020,GAMIN: Generative Adversarial Multiple Imputation Network for Highly Missing Data,B,NO,Substantively discusses multiple imputation theory and confidence estimation for generating multiple imputations to capture uncertainty under high missingness rates.,REVIEW
Lopes et al.,2015,Handling Missing Data,B,NO,"Substantively discusses statistical missing data mechanisms (MCAR, MAR, MNAR) and the validity of single vs. multiple imputation when applied to neural network models.",REVIEW
Bidarbakhtnia et al.,2026,Global transitions to sustainable development: A cross-country clustering of SDG progress,C,NO,Employs multiple imputation solely as a data preparation step for missing SDG indicator data before neural network clustering.,SKIP
Ng et al.,2026,Genetic Algorithm-Enhanced CMILK for Robust Thermal Facial Data Imputation,C,NO,Applies correlation-based multiple imputation optimized by genetic algorithms to facial landmark temperatures without addressing DL statistical validity theory.,SKIP
Reshmi et al.,2026,Food Adulteration Detection Using Quantum-Inspired Hybrid Optimization Approach,C,NO,Uses MICE strictly as a preprocessing step to handle missing values prior to feature extraction and quantum-hybrid classification.,SKIP
Xiao et al.,2026,Explainable Machine Learning Model Based on Routine Admission Laboratory Tests for Predicting New-Onset Hypoalbuminemia in Hospitalized Older Patients with Acute Exacerbation of COPD,C,NO,Uses multiple imputation solely as a data preparation step for missing admission lab tests in a retrospective clinical predictive study.,SKIP
Yalçin et al.,2026,Explainable tabular deep learning models for antenatal cesarean delivery prediction in multiparous women,C,NO,Mentions multiple imputation strictly as a data preprocessing step prior to evaluating tabular deep learning architectures for clinical prediction.,SKIP
Bahudian et al.,2025,Generating Synthetic Data for Machine Learning Models from the Pediatric Heart Network Fontan I Dataset,C,NO,Uses MICE as a standard data preprocessing step prior to training a generative adversarial network for synthetic pediatric data generation.,SKIP
Baro et al.,2025,GAN-based approach for data imputation and handling class imbalance using one class ensemble,C,NO,Adopts multiple imputation concepts as part of a heuristic GAN-ensemble workflow for imbalanced classification without statistical validity proofs.,SKIP
Huang et al.,2025,Explainable machine learning model for 1-year readmission risk prediction in AECOPD patients: integrating relief feature selection with sample augmentation,C,NO,Uses MICE as a data cleaning step prior to CTGAN data augmentation and clinical readmission risk prediction.,SKIP
Sharma et al.,2025,"Exploring the Role of Abuse, Substance use and General Health in Pregnancy Risk Prediction using Machine Learning Algorithms",C,NO,Uses MICE as a preprocessing tool to handle missing values in survey data before training gradient boosting and neural network classifiers.,SKIP
Chhabra,2024,Handling Missing Data through Artificial Neural Network,C,NO,Empirically compares a back-propagation artificial neural network against statistical multiple imputation for categorical data reconstruction.,SKIP
Jolicoeur-Martineau et al.,2024,Generating and Imputing Tabular Data via Diffusion and Flow-based Gradient-Boosted Trees,C,NO,Evaluates gradient-boosted tree diffusion and flow models on tabular data generation and imputation benchmarks without formal statistical proofs.,SKIP
Mensah et al.,2024,FaceNet recognition algorithm subject to multiple constraints: Assessment of the performance,C,NO,"Applies statistical multiple imputation methods (MICE, MissForest, RegEM) as preprocessing steps for facial de-occlusion before FaceNet evaluation.",SKIP
Balshetwar et al.,2023,Fake news detection in social media based on sentiment analysis using classifier techniques,C,NO,Mentions MICE only as a preprocessing routine for multivariate missing variables in social media data classification.,SKIP
Jiang et al.,2023,Handling missing data in well-log curves with a gated graph neural network,C,YES,Mentions MICE in passing as an empirical baseline (MICE-GRU) when evaluating a gated graph neural network for well-log curve imputation.,SKIP
Wu et al.,2023,Fault Diagnosis of Autonomous Underwater Vehicle with Missing Data Based on Multi-Channel Full Convolutional Neural Network,C,YES,Applies random forest MICE as a data preparation step for missing AUV sensor signals prior to multi-channel CNN fault diagnosis.,SKIP
Li et al.,2022,Filling Missing Surface Roughness Data for Grinding Process Using Physics-Guided Neural Network,C,NO,Mentions traditional imputation methods in passing while introducing a physics-guided neural network for grinding process data.,SKIP
Sun et al.,2022,Feature Completion Using Correlation-Preserved Autoencoder,C,NO,Uses multiple imputation concepts heuristically to motivate ensembling autoencoder outputs without addressing statistical inference theory.,SKIP
Zhou et al.,2022,Gender Difference in Prognosis of Patients with Heart Failure: A Propensity Score Matching Analysis,C,NO,Uses multiple imputation with predictive mean matching solely as a preprocessing step prior to neural network propensity score matching.,SKIP
Calhas et al.,2021,fMRI Multiple Missing Values Imputation Regularized by a Recurrent Denoiser,C,YES,Incorporates chained equations heuristically into a deep neural network layer for multivariate fMRI signal imputation without formal statistical inference proofs.,SKIP
Hazra et al.,2021,"Generating Synthetic Fermentation Data of Shindari, a Traditional Jeju Beverage, Using Multiple Imputation Ensemble and Generative Adversarial Networks",C,NO,Uses MICE and random forest as a pre-imputation ensemble step before training a Wasserstein GAN for synthetic beverage data generation.,SKIP
Woldesellasse et al.,2021,Handling Incomplete and Missing Data in Corrosion Pit Measurement Database Using Imputation Methods: Model Development Using Artificial Neural Network,C,NO,Evaluates eight standard imputation techniques (including AMELIA) as preprocessing routines to train a neural network on corrosion data.,SKIP
