authors,year,title,category,time_series,reasoning,verdict
Zbysinski et al.,2026,A comparative analysis in a clinical cohort: multiple imputation by chained equations and a novel super learner-based imputation approach,C,NO,"Evaluates a Super Learner ensemble against MICE on clinical data, referencing multiple imputation only as an empirical baseline without addressing theoretical statistical validity.",SKIP
Cheng et al.,2026,A comprehensive guideline for hybrid modeling of engineered microbial processes,D,NO,"Provides guidelines for hybrid mechanistic and data-driven modeling in microbial processes, without addressing deep learning missing data inference theory.",SKIP
Benhamza et al.,2025,A comprehensive survey of imputation methods in medical missing data analysis,C,NO,"Surveys medical missing data imputation methods, mentioning statistical and multiple imputation concepts only as background literature categories.",SKIP
Loh et al.,2024,A comparative analysis of missing data imputation techniques on sedimentation data,C,YES,"Empirically compares neural networks and statistical imputation on hydrological sediment data, referencing multiple imputation as an experimental baseline.",SKIP
Adhikari et al.,2024,A Lightweight-Window-Portion-Based Multiple Imputation for Extreme Missing Gaps in IoT Systems,C,YES,"Develops a window-based multiple imputation algorithm for IoT time series, citing multiple imputation as background without theoretical analysis of deep learning validity.",SKIP
Chen et al.,2023,A Bayesian Augmented-Learning framework for spectral uncertainty quantification of incomplete records of stochastic processes,D,YES,"Applies Bayesian recurrent neural networks and stochastic variational inference for spectral uncertainty quantification in physics, without addressing Rubin's statistical missing data framework.",SKIP
Adhikari et al.,2023,A Comprehensive Survey on Imputation of Missing Data in Internet of Things,C,YES,"Surveys missing data handling in IoT systems, referencing missingness mechanisms and statistical imputation as background taxonomy.",SKIP
Shan et al.,2022,A deep-learning based solar irradiance forecast using missing data,D,YES,"Introduces an adaptive neural imputation module for solar irradiance time-series forecasting, without addressing theoretical missing data inference.",SKIP
Fu et al.,2021,A Comparative Study of Various Methods for Handling Missing Data in UNSODA,C,NO,"Compares machine learning methods and multiple imputation on soil property data, treating statistical imputation solely as an empirical baseline.",SKIP
Mahabbati et al.,2021,A comparison of gap-filling algorithms for eddy covariance fluxes and their drivers,C,YES,"Benchmarks gap-filling algorithms for microclimatological flux time series, including neural networks and statistical methods as empirical baselines.",SKIP
Razzak et al.,2021,A Hybrid Technique for the Multiple Imputation of Survey Data,D,NO,"Proposes a statistical multiple imputation technique using Bayesian latent class models for survey data, without incorporating or evaluating deep learning architectures.",SKIP
Xu et al.,2021,A Deep Learning-Based Unsupervised Method to Impute Missing Values in Patient Records for Improved Management of Cardiovascular Patients,D,NO,"Develops an unsupervised deep autoencoder for EHR imputation evaluated on downstream predictive accuracy, without addressing statistical inference theory.",SKIP
Mancuso et al.,2020,"A flexible, interpretable, and accurate approach for imputing the expression of unmeasured genes",D,NO,"Evaluates a sample-based LASSO model against neural networks for gene expression imputation, without addressing statistical inference theory.",SKIP
Xu et al.,2020,"A deep learning-based, unsupervised method to impute missing values in electronic health records for improved patient management",D,YES,"Introduces a deep autoencoder for EHR data incorporating temporal patterns evaluated on downstream clinical predictions, without examining statistical inference theory.",SKIP
Llanes-Santiago et al.,2019,A FAULT DIAGNOSIS PROPOSAL WITH ONLINE IMPUTATION TO INCOMPLETE OBSERVATIONS IN INDUSTRIAL PLANTS,C,YES,Applies multiple imputation as an online data preprocessing tool for a neural network fault diagnosis pipeline in industrial process streams.,SKIP
Andreeva et al.,2016,A comparative analysis of the UK and Italian small businesses using Generalised Extreme Value models,D,NO,"Investigates Generalized Extreme Value models for credit risk prediction, using multiple imputation solely as a data preparation technique without deep learning.",SKIP
Silva et al.,2014,A brief review of the main approaches for treatment of missing data,C,NO,"Reviews missing data mechanisms and treatment methods in data mining, referencing statistical mechanisms as general background context.",SKIP
Fernandes et al.,2010,A Clinical Decision Support System for Breast Cancer Patients,C,NO,"Combines neural networks and statistical models for cancer prognosis, citing multiple imputation only as a data preparation step.",SKIP
ICMLDE,2022,"2022 International Conference on Machine Learning and Data Engineering, ICMLDE 2022",D,NO,Conference proceedings volume covering diverse engineering topics without addressing the theoretical connection between deep learning and statistical missing data validity.,SKIP
Sánchez Lasheras et al.,2021,A Multivariate Approach to Time Series Forecasting of Copper Prices with the Help of Multiple Imputation by Chained Equations and Multivariate Adaptive Regression Splines,C,YES,"Integrates MICE with MARS splines for commodity price time-series forecasting, using statistical imputation as a preprocessing step without deep learning integration.",SKIP
Singh et al.,2025,"A Hybrid Self-Supervised Framework for Intelligent Data Imputation Using Causal Graphs, Diffusion Models, and Generative World Learning",C,NO,"Proposes a self-supervised diffusion framework for tabular data, citing missingness mechanisms (MAR/MNAR) and MICE in passing as background motivation.",SKIP
