authors,year,title,category,time_series,reasoning,verdict
Ferrer-Cid et al.,2026,Evaluating missing value imputation strategies to enhance IoT data availability in the edge,B,YES,Substantively evaluates the statistical validity and uncertainty quantification (confidence interval coverage) of deep VAE imputation relative to MICE on edge IoT sensor data.,REVIEW
Prabhu et al.,2026,Entropy Guided Benchmarking of Classical and Generative Imputation Methods for High-Dimensional Healthcare Survey Data,B,NO,Benchmarks deep generative imputation against MICE by substantively evaluating distributional preservation (KS statistics) and downstream SEM validity across missingness complexity levels.,REVIEW
Willis et al.,2026,Evaluation of accuracy and potential biases of imputation methods on biomedical datasets subject to different mechanisms and patterns of missingness,B,NO,"Substantively evaluates accuracy, statistical bias, coverage, and distributional distance (Wasserstein distance) of imputation methods across MCAR, MAR, and MNAR mechanisms.",REVIEW
He et al.,2025,Evaluation of Generative Adversarial Imputation Nets' Performance in Handling Missing Data in Structural Equation Modeling,B,NO,"Substantively evaluates the statistical inferential validity (parameter estimation bias, variability, and SEM model fit recovery) of deep generative imputation (GAIN) against statistical benchmarks (FIML, MI).",REVIEW
Barth et al.,2024,Ensemble reconstruction of missing satellite data using a denoising diffusion model: application to chlorophyll a concentration in the Black Sea,B,YES,"Substantively evaluates the statistical validity, ensemble reliability, and probabilistic uncertainty quantification of deep diffusion imputation for satellite ocean data.",REVIEW
Senetaire et al.,2023,Explainability as statistical inference,B,NO,Casts model interpretability as a statistical inference problem and substantively examines the role of proper multiple imputation in neural feature attribution.,REVIEW
Boursalie et al.,2022,Evaluation Metrics for Deep Learning Imputation Models,B,NO,Substantively contrasts predictive metrics (RMSE) with statistical validity (Jensen-Shannon distance) to evaluate deep learning imputation models against statistical standards.,REVIEW
Bräm et al.,2022,Evaluation of machine learning methods for covariate data imputation in pharmacometrics,B,NO,"Substantively evaluates the statistical validity (estimation bias) of machine learning imputation methods (RF, ANN) against statistical MI benchmarks in pharmacometrics.",REVIEW
Bhaskaran et al.,2026,Enhanced WSN-IoT Security in Cyber-Physical Systems Employing a Directed Acyclic Graph Triplet Attention Network and Draco Lizard Optimizer,C,YES,Mentions adaptive multiple imputation (AMIMVC) purely as a data preprocessing heuristic for IoT network security classification without addressing statistical inference theory.,SKIP
Faisal et al.,2026,Explainable machine learning for risk stratification following TAVI,C,NO,Applies multiple imputation as a routine preprocessing step for missing clinical parameters in a post-TAVI risk stratification machine learning model.,SKIP
Tasnia et al.,2026,"Evaluating Machine Learning Models for Classifying Diabetes Using Demographic, Clinical, Lifestyle, Anthropometric, and Environmental Exposure Factors",C,NO,Mentions MICE in passing as a standard missing data preprocessing technique prior to training supervised classifiers on NHANES data.,SKIP
Vafaei et al.,2026,Enhancing groundwater level prediction through DeepMVI-Aided interpolation and transformer-based modeling,C,YES,Uses DeepMVI for groundwater level data interpolation prior to predictive time series modeling without exploring Rubin's statistical framework.,SKIP
Wang et al.,2026,Evaluating the accuracy of sex estimation from human tooth volume: leveraging automated AI segmentation and comparative analysis of machine learning algorithms,C,NO,Uses MICE as a routine preprocessing step for missing tooth volume data in a forensic machine learning pipeline without addressing theoretical statistical validity.,SKIP
Bori et al.,2025,Evaluating clinical utility of embryo selection algorithms: reducing time to live birth through deep learning and multiple imputation,C,NO,Mentions multiple imputation in passing as a statistical tool for handling missing outcome data alongside deep learning embryo selection.,SKIP
Ghorbani et al.,2025,"Evaluating Deep Learning Data Imputation for Subway Indoor Air Quality: Accuracy, Efficiency, and Implications for Downstream Tasks",C,YES,"Evaluates deep learning imputation (MOP-LSTM) for subway air quality data, mentioning multiple imputation only as background context for missing data handling.",SKIP
Li et al.,2025,Enhancing landslide dam stability prediction: a data-driven framework integrating missing data imputation and optimal threshold discrimination,C,NO,"Evaluates GAIN, missForest, MICE, KNN, and mean imputation as data preprocessing for landslide dam stability ML classifiers, focusing on predictive AUC/accuracy.",SKIP
Mbamba et al.,2025,Enhancing data quality in wastewater processes: Missing data imputation with deep Variational Autoencoders and genetic algorithms,C,YES,"Combines deep VAEs and genetic algorithms for missing data imputation in wastewater processes, framing imputation as an engineering data quality enhancement.",SKIP
van Velze et al.,2025,Evaluation of Machine Learning Model Performance in Diabetic Foot Ulcer: Retrospective Cohort Study,C,NO,Uses deep learning multiple imputation (MIDAS Touch) as a routine preprocessing tool within a clinical machine learning framework for diabetic foot ulcers.,SKIP
Kaur et al.,2024,Estimation of missing weather variables using different data mining techniques for avalanche forecasting,C,YES,Evaluates MICE and nearest-neighbor imputation as preprocessing methods for missing weather variables to improve neural network avalanche forecasting.,SKIP
Wang et al.,2024,Examining factors related to low performance of predicting remission in participants with major depressive disorder using neuroimaging data and other clinical features,C,NO,Implements multiple imputation as a standard preprocessing step in a neuroimaging machine learning pipeline predicting depression remission.,SKIP
Zhang et al.,2024,Enhancement Methods of Hydropower Unit Monitoring Data Quality Based on the Hierarchical Density-Based Spatial Clustering of Applications with a Noise-Wasserstein Slim Generative Adversarial Imputation Network with a Gradient Penalty,C,YES,"Proposes WSGAIN-GP for hydropower unit monitoring data imputation, evaluating empirical distribution distance (KL/JS divergence) without theoretical inference framing.",SKIP
Moghtadernejad et al.,2023,Estimating the Values of Missing Data Related to Infrastructure Condition States Using Their Spatial Correlation,C,YES,"Evaluates spatial-temporal neural networks (Bi-LSTM) and Kriging for infrastructure condition data estimation, referencing stochastic multiple imputation only as background.",SKIP
Lee et al.,2022,Evaluation of Odor Prediction Model Performance and Variable Importance according to Various Missing Imputation Methods,C,NO,"Compares single, multiple, and KNN imputation combinations with ML/DL prediction models for odor concentration without evaluating statistical inference validity.",SKIP
Sachan et al.,2021,Evidential reasoning for preprocessing uncertain categorical data for trustworthy decisions: An application on healthcare and finance,C,NO,Proposes the MAKER framework using evidential reasoning to transform and impute missing categorical attributes for trustworthy AI decisions without theoretical missing data inference analysis.,SKIP
Casiraghi et al.,2020,Explainable Machine Learning for Early Assessment of COVID-19 Risk Prediction in Emergency Departments,C,NO,Employs missing data imputation as a routine preprocessing step in an explainable machine learning pipeline for COVID-19 risk prediction in emergency departments.,SKIP
