authors,year,title,category,time_series,reasoning,verdict
Simkus & Gutmann,2024,Improving Variational Autoencoder Estimation from Incomplete Data with Mixture Variational Families,A,NO,Mathematically proves how missing data alters the latent posterior distribution in VAEs and formally derives variational mixture lower bounds to guarantee valid inference from incomplete data.,REVIEW
Ipsen et al.,2022,HOW TO DEAL WITH MISSING DATA IN SUPERVISED DEEP LEARNING?,A,NO,Provides a formal variational mathematical framework proving that importance-weighted deep generative models marginalize over missing features under MAR to yield samples from the posterior predictive distribution.,REVIEW
Asiimwe et al.,2026,Improving Genotype Imputation in High-Dimensional Pharmacogenomics Using Multiple Imputation: Evaluation with Machine Learning Approaches,B,NO,"Substantively evaluates Rubin's statistical inference validity, specifically measuring 95% confidence interval coverage and false-positive rates when combining multiple imputation with machine learning.",REVIEW
Zhu & Lai,2022,Improvements Achieved by Multiple Imputation for Single-Cell RNA-Seq Data in Clustering Analysis and Differential Expression Analysis,B,NO,Substantively evaluates applying Rubin's multiple imputation framework to GAN-based deep learning imputation (scIGANs) for downstream statistical inference without providing a formal proof.,REVIEW
Jarrett et al.,2022,HyperImpute: Generalized Iterative Imputation with Automatic Model Selection,B,NO,"Substantively analyzes the statistical validity, conditional distribution matching, and model specification trade-offs between deep generative modeling and Rubin's MICE iterative imputation paradigm.",REVIEW
Dudhe et al.,2025,ICU Mechanical Ventilation Data Imputation,C,YES,"Empirically compares GRU networks and statistical imputation methods (MICE) on ICU mechanical ventilation time series, referencing missingness patterns only as background.",SKIP
Mahmud et al.,2025,IMPUGAN: Learning Conditional Generative Models for Robust Data Imputation,C,NO,Mentions traditional multiple imputation and statistical assumptions as background motivation for proposing a conditional GAN without engaging with statistical inference theory.,SKIP
Afkanpour et al.,2024,Identify the most appropriate imputation method for handling missing values in clinical structured datasets: a systematic review,C,NO,A systematic review categorizing clinical tabular imputation methods across MCAR/MAR/MNAR mechanisms without providing theoretical analysis of the bridge between deep learning and statistical validity.,SKIP
Widi Nurcahyo & Wafridh,2024,Improved Backpropagation Using Genetic Algorithm for Prediction of Anomalies and Data Unavailability,C,NO,Compares a genetic algorithm-optimized backpropagation neural network against standard multiple imputation as an empirical baseline on survey data.,SKIP
Utama et al.,2024,Improving Time-Series Forecasting Performance Using Imputation Techniques in Deep Learning,C,YES,Evaluates traditional imputation methods like MICE prior to deep learning time-series forecasting without analyzing statistical inference validity.,SKIP
Liu et al.,2023,Handling missing values in healthcare data: A systematic review of deep learning-based imputation techniques,C,YES,A systematic review mapping deep learning imputation architectures across healthcare data types without conducting a substantive theoretical analysis of statistical validity.,SKIP
Pavelchek et al.,2023,Imputation of missing values for cochlear implant candidate audiometric data and potential applications,C,NO,"Empirically evaluates MICE, KNN, and neural networks on static audiometric data without addressing theoretical statistical validity or formal inference properties.",SKIP
Aw & Nor,2023,Imputation data for neural network stock market forecasting,C,YES,Applies standard multiple imputation to non-trading days prior to neural network stock price time series forecasting without exploring statistical validity theory.,SKIP
Song et al.,2020,Impacts of Fractional Hot-Deck Imputation on Learning and Prediction of Engineering Data,C,NO,"Investigates non-deep fractional hot-deck statistical imputation for machine learning predictions, referencing Rubin only in passing regarding donor count defaults.",SKIP
Rodenburg et al.,2019,Improving RNN Performance by Modelling Informative Missingness with Combined Indicators,C,YES,Mentions MNAR missingness mechanisms and inferential needs as background motivation for proposing an empirical LSTM missingness indicator method on longitudinal survey time series.,SKIP
Shobha & Nickolas,2019,Imputation of multivariate attribute values in big data,C,NO,Mentions multiple imputation limitations as background motivation for proposing a self-organizing neural network ensemble imputation technique without theoretical analysis of statistical validity.,SKIP
Yadav & Roychoudhury,2018,Handling missing values: A study of popular imputation packages in R,C,NO,Evaluates standard R statistical imputation packages empirically without addressing deep learning imputation theory or formal statistical validity.,SKIP
Mitra & Samanta,2015,Hepatitis Disease Diagnosis Using Multiple Imputation and Neural Network with Rough Set Feature Reduction,C,NO,Uses traditional multiple imputation as a preprocessing step prior to neural network training without discussing the theoretical connection between DL and statistical validity.,SKIP
Belanche et al.,2014,Handling missing values in kernel methods with application to microbiology data,C,NO,Compares extended kernel techniques with multiple imputation for kernel methods on binary microbiology data without addressing deep learning or formal statistical proofs.,SKIP
Xu & Zhang,2013,HONNs with Extreme Learning Machine to Handle Incomplete Datasets,C,NO,Cites Little & Rubin (1987) in passing as generic background before presenting an empirical higher-order neural network model.,SKIP
Xu,2012,HONNs with extreme learning machine to handle incomplete datasets,C,NO,Cites Little & Rubin (1987) as generic background in the introduction before evaluating an extreme learning machine on incomplete tabular datasets.,SKIP
Kalteh & Hjorth,2009,Imputation of missing values in a precipitation-runoff process database,C,YES,"Compares neural networks and classical imputation methods on hydrological rainfall-runoff time series, referencing multiple imputation and normal distribution assumptions only as background.",SKIP
Farhangfar et al.,2008,Impact of imputation of missing values on classification error for discrete data,C,NO,Conducts an empirical study comparing standard single and multiple statistical imputation techniques for discrete classification without addressing deep learning imputation theory.,SKIP
Deepika et al.,2025,HIGHLY ACCURATE HYBRID METHOD FOR ATTENTION DEFICIT HYPERACTIVITY DISORDER CLASSIFICATION BASED ON ANFIS-RFE-GWO,D,NO,Focuses on fuzzy logic and metaheuristic optimization for ADHD classification without addressing missing data inference theory or DL imputation.,SKIP
Khan et al.,2024,High-order polynomial interpolation with CNN: A robust approach for missing data imputation,D,NO,Proposes a heuristic hybrid polynomial-CNN method for missing data imputation without referencing statistical missing data inference theory or Rubin's framework.,SKIP
Perez & Tah,2020,Improving the Accuracy of Convolutional Neural Networks by Identifying and Removing Outlier Images in Datasets Using t-SNE,D,NO,"Focuses on image outlier detection for CNN image classification, completely unrelated to missing data imputation or statistical inference theory.",SKIP
You et al.,2020,Handling Missing Data with Graph Representation Learning,D,NO,Proposes a bipartite graph neural network framework for feature imputation and label prediction without addressing Rubin's statistical inference framework or formal posterior convergence.,SKIP
Choudhury & Pal,2019,Imputation of missing data with neural networks for classification,D,NO,Proposes an autoencoder reconstruction technique for missing data imputation in classification tasks without referencing statistical missing data theory.,SKIP
Prasojo et al.,2019,Health Index Analysis of Power Transformer with Incomplete Paper Condition Data,D,NO,Evaluates practical regression and neuro-fuzzy models to substitute missing power transformer data without engaging with statistical inference theory.,SKIP
Javanmardi et al.,2018,Image Segmentation by Deep Learning of Disjunctive Normal Shape Model Shape Representation,D,NO,"Applies CNNs for image shape segmentation under spatial occlusions, completely unrelated to missing data statistical inference.",SKIP
